ID,Survey Link ,Format,"Speaks to: Reliability, Safety, Affordability",Data Set Name,Description,Data Publisher,Data Steward Contact,Link to Open Data Format,Original Source / WebApplication (non-open format),Comments,
1,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,ALL,Drinking Water Watch - Public Water System Information*,"List of Active Public Water Systems including  basic information such as population served, number of connections, county, etc.",SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/drinking-water-public-water-system-information,https://sdwis.waterboards.ca.gov/PDWW/    https://drinc.ca.gov/drinc/DWPRepository.aspx,"Intended to be a one time extract. This dataset includes all PWS, and water source facilities no matter their availability or activity status. ",
2,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,Safety,"Public Drinking Water Systems Compliance Status
updated the open data link 3:47pm 6/26",Summary of Public Water Systems  Exceedance/Compliance Status,SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/drinking-water-%E2%80%93-human-right-water-regulatory-including-enforcement-actions-information,https://www.waterboards.ca.gov/water_issues/programs/hr2w/index.html,Supplemental Resources Available from Original Source.,
3,http://bit.ly/WaterChallengeDatasetSurvey,Tabular ,ALL,Periodic Groundwater Level Measurements (CASGEM)*,"Groundwater Levels dataset contains seasonal and long-term groundwater level measurements collected by the Department of Water Resources and cooperating agencies in groundwater basins statewide. It also includes data collected through the CASGEM (California Statewide Groundwater Elevation Monitoring) Program. Most measurements are taken manually twice per year to capture the peak high and low values in groundwater elevations. However, the dataset also includes measurements recorded more frequently, monthly, weekly, or daily.  Pairs well with dataset #3.  Wolfram candidate",DWR- Department of Water Resources ,Eric Senter,https://data.cnra.ca.gov/dataset/periodic-groundwater-level-measurements,"http://wdl.water.ca.gov/waterdatlibrary
","Additional information available from CASGEM program: https://www.water.ca.gov/Programs/Groundwater-Management/Groundwater-Elevation-Monitoring--CASGEM
This dataset is maintained in the DWR Enterprise Water Management database, and contains information specific to the location of groundwater level monitoring wells and groundwater level measurements collected at these wells. Well site information typically includes well location coordinates and elevation, and other supplementary items about the well type and construction. Groundwater level measurement records typically include information about the time/date a measurement was collected, the entity collecting the measurement, a measurement indicating the depth to groundwater, and quality information about the measurement.
",
4,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,ALL,USGS Groundwater Levels,"USGS National Water Information System (NWIS), which contains extensive water data. Nationwide, the groundwater database consists of more than 850,000 records of wells, springs, test holes, tunnels,drains, and excavations in the United States. Available site descriptive information includes well location information such as latitude and longitude, well depth, and aquifer. Pairs well with dataset #2. ",USGS NWIS,USGS NWIS,https://catalog.data.gov/dataset/usgs-groundwater-data-for-the-nation-national-water-information-system-nwis,https://waterdata.usgs.gov/ca/nwis/gw,The USGS annually monitors groundwater levels in thousands of wells in the United States. Groundwater level data are collected and stored as either discrete field-water-level measurements or as continuous time-series data from automated recorders. Data from some of the continuous record stations are relayed to USGS offices nationwide through telephone lines or by satellite transmissions providing access to current groundwater data.,
5,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,ALL,Public System Water Produced Reported in the Electronic Annual Report (EAR)*,Monthly Water Production Reported by Water Suppliers in the Electronic Annual Reports (2013-2016),SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/drinking-water-%E2%80%93-public-water-system-annually-reported-water-production-and-delivery-2 ,,,
6,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,ALL,Public System Water Delivered Reported in the Electronic Annual Report (EAR)*,Monthly Water Delivery Reported by Water Suppliers in the Electronic Annual Reports (2013-2016),SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/drinking-water-%E2%80%93-public-water-system-annually-reported-water-production-and-delivery-0  ,,,
7,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,Reliability,Water Conservation. Domestic Water Use. MONTHLY REPORTING*,Emergency Regulation Monthly Drinking Water Conservation Reports (Water Suppliers with more than 3000 connections) Wolfram Candidate,SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/drinking-water-%E2%80%93-urban-water-supplier-monitoring-%E2%80%93-drinc, https://www.waterboards.ca.gov/water_issues/programs/conservation_portal/conservation_reporting.shtml,"OIMA posts to Data Portal, ORPP maintains portal, DDW hosts DRINC, and Data Steward assigned on Conservation Portal is DRINC@Waterboards.ca.gov (DDW Triage Team). ",
8,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,ALL,Public Water System Operations - Electronic Annual Report (EAR)*,"PWS submit their annual inventory information using the EAR, which is reviewed, and manually updated into SDWIS. This data is self-reported by PWS for the 2016 reporting year, reviewed in quarter 2 of the 2017 calendar year.  ",SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/public-water-system-operations-electronic-annual-report,http://drinc.ca.gov/ear/home.aspx,FAQ available free of site registration. ,"Once a complete day of readings are received from a site, daily summary data are generated and made available online. USGS finalizes data at individual sites on a continuous basis as environmental conditions and hydrologic characteristics permit."
9,http://bit.ly/WaterChallengeDatasetSurvey,Zipfiles,Safety,Drinking Water Quality - EDT Library,Laboratory Results of Water Quality Analyses provided by Public Water Suppliers,SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/drinking-water-quality-edt-library,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/EDTlibrary.html,Supplemental Resources Available from Original Source.,
10,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,Affordability,"Water Rates Charged By Water Suppliers* 
","

Water Rates Charged by Water Suppliers and Reported in
the Electronic Annual Report (EAR) for years 2014 and 2015

",SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/drinking-water-public-water-systems-rates-information,,,
